INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='ABBYY', extension='', is_directory=True, parent_directory='C:/Users/All Users')
INFO:root:FileData(name='Bonus.ScreenshotReader', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ABBYY')
INFO:root:FileData(name='FineReader', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ABBYY')
INFO:root:FileData(name='10.00', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ABBYY\\FineReader')
INFO:root:FileData(name='FontCache', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00')
INFO:root:FileData(name='Arial Black Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Black', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Narrow Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Narrow Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Narrow Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Narrow', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Unicode MS Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Unicode MS Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Unicode MS Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial Unicode MS', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Arial', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Book Antiqua Bold Italic', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
INFO:root:FileData(name='Book Antiqua Bold', extension='.fch', is_directory=False, parent_directory='C:/Users/All Users\\ABBYY\\FineReader\\10.00\\FontCache')
